1.158722014499501823e-02,4.592304285622712291e-03,4.937841294656147156e-02,1.691121142216748044e-02,4.827401174455869109e-02,2.991616753424563083e-02
1.144645877672633913e-02,4.622648911229133850e-03,2.333266986559921069e-02,5.797866186063966448e-02,2.633776118141193875e-02,6.120169876938628961e-02
3.301044677226304489e-03,5.027571655936392218e-04,4.386787281880139000e-02,6.109787627033771984e-02,3.732015336393999794e-02,3.728202295820003814e-02
9.649007886725073820e-04,1.379028784306362502e-04,2.629561360260216848e-02,7.108113417455227609e-03,3.554892135142556642e-02,2.178893604479023929e-02
1.053157215346061173e-03,1.518052211894713351e-04,2.993517846657252693e-02,9.197602943457863084e-03,2.062880541353029687e-03,6.213139667625685106e-04
1.111333479613712399e-03,1.146212071369133337e-04,2.448195271144017540e-02,1.531930001769164600e-02,2.679321775333116419e-03,3.601599517810524418e-04
1.173897823938068949e-03,1.364373767710678716e-04,2.698629732096518435e-02,1.451987477770742482e-02,1.783993540581467474e-02,7.555473857014208781e-03
1.228769410313336691e-03,1.478633425527869753e-04,2.912704221269243193e-02,6.763646267090753922e-03,2.340785740614348062e-02,1.323080331258271597e-02
1.042290535616643889e-03,1.629272344121729344e-04,2.483497811693524682e-02,1.512596206650941057e-02,4.177152318963596456e-02,1.295029054611476424e-02
1.013379690476918929e-03,1.575671552274708555e-04,2.731866172862112280e-02,8.325524001969359517e-03,2.595525451882565310e-02,3.431045939169369979e-02
1.000309626859325523e-03,1.391107272544950301e-04,2.520930383016540405e-02,1.400068854332747748e-02,2.566827635668763805e-02,3.159193843259672230e-02
9.776963698818004391e-04,1.541810960710037252e-04,2.342736331717896678e-02,1.452082996523733002e-02,2.914744351167391535e-03,6.391490258868626293e-04
1.070523479437443396e-03,1.743417552248246571e-04,2.970956930386518119e-02,8.418488863611035128e-03,1.944245316493007150e-02,8.236960054510914647e-03
1.769564461412325503e-04,1.444819655582479442e-05,1.225595530696194958e-02,1.253425883058385121e-02,3.321731520989399528e-02,3.581682629773707410e-02
2.356569481646366706e-04,1.484596169050484135e-05,1.400683120064110700e-02,6.228338387069929857e-03,3.467590357122757143e-03,5.036729022925932192e-04
1.986669501653883570e-04,1.409839008874780560e-05,9.479667524779392465e-03,1.138256880544255903e-02,2.068256428427844504e-03,6.419143039329200037e-04
2.229241091731022216e-04,1.347043887647170229e-05,9.999713352590691370e-03,1.170996837178096307e-02,1.297019801365190995e-02,7.317486475511262960e-03
2.120008796056743793e-04,1.306297911722916611e-05,1.004781003325794404e-02,1.341304838984445393e-02,6.935873654685481560e-03,4.332173627262933362e-03
2.125377327599958029e-04,1.217266444725363114e-05,9.552336395754040463e-03,1.188491564642593819e-02,2.047907142091515836e-02,2.494025073176311252e-02
1.933137631638457007e-04,8.113740969465123355e-06,1.268376876079550970e-02,8.246042382397818574e-03,1.874878329508344182e-02,1.411789042260894883e-02
1.665713677512431826e-04,1.775730101295352879e-05,8.805089756047936381e-03,1.308014870690760861e-02,1.716413819906886448e-02,1.023250070134518359e-02
2.379313790592876843e-04,1.573229076138909471e-05,1.043760877826701780e-02,1.184352240747946726e-02,3.077120098886997578e-03,6.870833929058806902e-04
1.628777855145113122e-04,1.028530621492092334e-05,1.111860555377555161e-02,1.250094116335083959e-02,6.647713724315597490e-03,9.952211311407602699e-04
